time,day,swiggy,zomato,eatsure,eatclub,dominoz,bigBasket,dunzo,zepto,blinkit,others,total deliveries
2022-10-15 0:00:00,sat,4,3,0,2,0,0,0,2,0,0,11
2022-10-15 1:00:00,sat,3,1,0,0,0,0,0,0,0,0,4
2022-10-15 2:00:00,sat,3,1,1,0,0,0,0,0,0,0,5
2022-10-15 3:00:00,sat,2,0,0,0,0,0,0,0,0,0,2
2022-10-15 4:00:00,sat,2,1,0,0,0,0,0,0,0,0,3
2022-10-15 5:00:00,sat,1,0,0,0,0,0,0,0,0,0,1
2022-10-15 6:00:00,sat,0,0,0,0,0,0,0,0,0,0,0
2022-10-15 7:00:00,sat,0,0,0,0,0,2,0,0,0,0,2
2022-10-15 8:00:00,sat,0,0,0,0,1,2,0,3,0,0,6
2022-10-15 9:00:00,sat,0,2,0,0,0,0,1,1,0,0,4
2022-10-15 10:00:00,sat,0,0,0,0,1,0,0,0,0,0,1
2022-10-15 11:00:00,sat,0,0,0,0,0,0,0,1,0,0,1
2022-10-15 12:00:00,sat,5,0,0,0,0,0,2,1,0,0,8
2022-10-15 13:00:00,sat,7,0,0,0,0,0,1,1,0,0,9
2022-10-15 14:00:00,sat,13,3,0,1,0,0,1,0,0,0,18
2022-10-15 15:00:00,sat,11,2,1,1,0,1,0,1,0,0,17
2022-10-15 16:00:00,sat,5,4,0,1,0,1,1,1,1,0,14
2022-10-15 17:00:00,sat,3,1,0,0,0,0,1,2,0,0,7
2022-10-15 18:00:00,sat,4,2,0,1,0,0,1,1,0,0,9
2022-10-15 19:00:00,sat,10,7,0,1,0,2,2,1,1,0,24
2022-10-15 20:00:00,sat,16,11,0,1,1,0,0,1,1,0,31
2022-10-15 21:00:00,sat,15,1,1,0,1,0,0,2,1,0,21
2022-10-15 22:00:00,sat,11,3,0,2,0,0,0,3,0,0,19
2022-10-15 23:00:00,sat,3,3,0,0,0,0,0,4,1,0,11
2022-10-16 0:00:00,sun,4,2,0,0,0,0,0,0,1,0,7
2022-10-16 1:00:00,sun,4,0,0,0,0,0,0,0,0,0,4
2022-10-16 2:00:00,sun,2,0,0,0,0,0,0,0,0,0,2
2022-10-16 3:00:00,sun,0,1,0,0,0,0,0,0,0,0,1
2022-10-16 4:00:00,sun,0,1,0,0,0,0,0,0,0,0,1
2022-10-16 5:00:00,sun,0,0,0,0,0,0,0,0,0,0,0
2022-10-16 6:00:00,sun,0,0,0,0,0,0,0,0,0,0,0
2022-10-16 7:00:00,sun,1,0,0,0,0,1,0,1,0,0,3
2022-10-16 8:00:00,sun,0,0,0,0,0,1,0,2,0,0,3
2022-10-16 9:00:00,sun,0,0,0,0,0,1,2,1,1,0,5
2022-10-16 10:00:00,sun,2,3,0,0,0,0,2,1,0,0,8
2022-10-16 11:00:00,sun,0,1,0,1,0,1,1,0,0,0,4
2022-10-16 12:00:00,sun,16,4,0,2,1,0,1,4,0,0,28
2022-10-16 13:00:00,sun,22,5,0,2,0,1,0,2,2,0,34
2022-10-16 14:00:00,sun,25,7,0,2,0,1,1,2,0,0,38
2022-10-16 15:00:00,sun,24,4,0,4,0,1,0,1,0,0,34
2022-10-16 16:00:00,sun,7,3,1,0,0,2,2,0,0,0,15
2022-10-16 17:00:00,sun,3,0,1,0,0,1,0,1,0,0,6
2022-10-16 18:00:00,sun,8,3,0,0,1,1,0,1,1,0,15
2022-10-16 19:00:00,sun,10,3,0,2,1,1,1,1,0,0,19
2022-10-16 20:00:00,sun,34,11,0,1,1,1,0,0,1,0,49
2022-10-16 21:00:00,sun,32,9,0,0,1,0,0,0,1,0,43
2022-10-16 22:00:00,sun,20,1,0,0,0,0,1,4,0,0,26
2022-10-16 23:00:00,sun,8,2,0,0,0,0,1,1,0,0,12
2022-10-17 0:00:00,mon,4,0,0,0,0,0,0,1,0,0,5
2022-10-17 1:00:00,mon,2,1,0,0,0,0,0,0,0,0,3
2022-10-17 2:00:00,mon,2,1,0,0,0,0,0,0,0,0,3
2022-10-17 3:00:00,mon,1,1,0,0,0,0,0,0,0,0,2
2022-10-17 4:00:00,mon,0,1,0,0,0,0,0,0,0,0,1
2022-10-17 5:00:00,mon,0,0,0,0,0,0,0,0,0,0,0
2022-10-17 6:00:00,mon,0,0,0,0,0,0,0,0,0,0,0
2022-10-17 7:00:00,mon,1,0,0,0,0,2,0,0,0,0,3
2022-10-17 8:00:00,mon,0,0,0,0,0,0,0,0,0,0,0
2022-10-17 9:00:00,mon,0,0,0,0,0,0,0,0,0,0,0
2022-10-17 10:00:00,mon,2,0,0,0,0,0,0,2,0,0,4
2022-10-17 11:00:00,mon,3,2,0,1,0,0,1,1,0,0,8
2022-10-17 12:00:00,mon,7,0,0,3,0,0,1,2,0,0,13
2022-10-17 13:00:00,mon,8,6,0,1,0,0,1,2,1,0,19
2022-10-17 14:00:00,mon,6,3,0,2,0,1,0,2,1,0,15
2022-10-17 15:00:00,mon,3,3,0,1,1,0,1,1,0,0,10
2022-10-17 16:00:00,mon,4,1,0,1,0,1,0,0,0,0,7
2022-10-17 17:00:00,mon,1,1,0,0,0,0,0,0,0,0,2
2022-10-17 18:00:00,mon,2,2,0,0,0,1,0,2,0,2,9
2022-10-17 19:00:00,mon,8,3,0,0,1,1,0,2,0,0,15
2022-10-17 20:00:00,mon,15,11,0,1,0,2,0,2,0,0,31
2022-10-17 21:00:00,mon,11,1,2,1,0,0,0,0,0,0,15
2022-10-17 22:00:00,mon,6,1,2,1,0,0,1,0,0,1,12
2022-10-17 23:00:00,mon,6,0,0,0,0,0,0,0,0,0,6
2022-10-18 0:00:00,tue,2,1,0,0,0,0,0,0,0,0,3
2022-10-18 1:00:00,tue,1,0,0,0,0,0,0,0,0,0,1
2022-10-18 2:00:00,tue,3,0,0,0,0,0,0,0,0,0,3
2022-10-18 3:00:00,tue,1,1,0,0,0,0,0,0,0,0,2
2022-10-18 4:00:00,tue,0,1,0,0,0,0,0,0,0,0,1
2022-10-18 5:00:00,tue,0,1,0,0,0,0,0,0,0,0,1
2022-10-18 6:00:00,tue,0,0,0,0,0,0,0,0,0,0,0
2022-10-18 7:00:00,tue,0,0,0,0,0,1,0,1,0,0,2
2022-10-18 8:00:00,tue,0,0,1,0,0,1,0,1,1,0,4
2022-10-18 9:00:00,tue,1,0,0,0,0,0,0,0,0,0,1
2022-10-18 10:00:00,tue,3,1,0,0,0,0,0,2,0,0,6
2022-10-18 11:00:00,tue,6,0,0,0,0,1,1,1,0,0,9
2022-10-18 12:00:00,tue,9,2,0,0,0,0,0,1,0,0,12
2022-10-18 13:00:00,tue,18,4,1,2,0,0,0,1,0,0,26
2022-10-18 14:00:00,tue,8,3,0,0,1,1,0,2,1,0,16
2022-10-18 15:00:00,tue,5,0,1,2,0,0,0,0,0,0,8
2022-10-18 16:00:00,tue,7,3,0,0,0,1,0,2,0,0,13
2022-10-18 17:00:00,tue,4,1,0,0,0,0,0,2,1,0,8
2022-10-18 18:00:00,tue,9,3,0,1,0,2,0,0,0,0,15
2022-10-18 19:00:00,tue,8,3,0,3,0,1,2,2,0,0,19
2022-10-18 20:00:00,tue,16,5,0,0,0,2,2,3,0,0,28
2022-10-18 21:00:00,tue,23,5,1,1,1,0,0,1,0,0,32
2022-10-18 22:00:00,tue,13,2,0,2,0,0,1,1,0,0,19
2022-10-18 23:00:00,tue,17,1,0,1,0,0,1,1,0,0,21
2022-10-19 0:00:00,wed,7,2,0,0,0,0,0,0,0,0,9
2022-10-19 1:00:00,wed,2,1,0,0,0,0,0,0,0,0,3
2022-10-19 2:00:00,wed,1,3,0,0,0,0,0,0,0,0,4
2022-10-19 3:00:00,wed,1,0,0,0,0,0,0,0,0,0,1
2022-10-19 4:00:00,wed,0,0,0,0,0,0,0,0,0,0,0
2022-10-19 5:00:00,wed,0,0,0,0,0,0,0,0,0,0,0
2022-10-19 6:00:00,wed,0,0,0,0,0,0,1,0,0,0,1
2022-10-19 7:00:00,wed,2,0,0,0,0,1,0,1,0,0,4
2022-10-19 8:00:00,wed,0,0,0,0,0,1,0,1,0,0,2
2022-10-19 9:00:00,wed,0,0,0,0,0,2,0,2,0,0,4
2022-10-19 10:00:00,wed,1,1,0,0,0,1,1,2,0,0,6
2022-10-19 11:00:00,wed,3,2,0,0,0,0,1,1,0,0,7
2022-10-19 12:00:00,wed,7,3,0,2,0,0,0,0,0,0,12
2022-10-19 13:00:00,wed,16,6,0,0,0,0,1,0,0,3,26
2022-10-19 14:00:00,wed,14,1,0,0,1,1,0,1,0,0,18
2022-10-19 15:00:00,wed,4,3,0,3,0,0,1,0,0,1,12
2022-10-19 16:00:00,wed,6,1,0,2,0,0,0,1,0,0,10
2022-10-19 17:00:00,wed,3,1,0,0,0,0,0,1,0,0,5
2022-10-19 18:00:00,wed,6,0,0,0,0,1,0,0,1,0,8
2022-10-19 19:00:00,wed,7,3,1,1,0,0,0,0,1,0,13
2022-10-19 20:00:00,wed,18,5,0,0,0,0,0,3,0,0,26
2022-10-19 21:00:00,wed,7,3,0,0,0,0,1,2,0,0,13
2022-10-19 22:00:00,wed,14,3,0,0,0,0,0,0,0,0,17
2022-10-19 23:00:00,wed,15,4,0,0,0,0,0,0,0,0,19
2022-10-20 0:00:00,thu,4,3,0,0,0,0,0,0,0,0,7
2022-10-20 1:00:00,thu,2,1,0,0,0,0,0,0,0,0,3
2022-10-20 2:00:00,thu,0,0,0,0,0,0,0,1,0,0,1
2022-10-20 3:00:00,thu,1,0,0,0,0,0,0,0,0,0,1
2022-10-20 4:00:00,thu,0,0,0,0,0,0,0,0,0,0,0
2022-10-20 5:00:00,thu,0,1,0,0,0,0,0,0,0,0,1
2022-10-20 6:00:00,thu,0,0,0,0,0,0,1,0,0,0,1
2022-10-20 7:00:00,thu,1,0,0,0,0,0,1,0,0,0,2
2022-10-20 8:00:00,thu,0,0,0,0,0,0,0,0,0,0,0
2022-10-20 9:00:00,thu,0,1,0,0,0,0,0,2,0,0,3
2022-10-20 10:00:00,thu,1,0,0,0,0,0,0,1,0,0,2
2022-10-20 11:00:00,thu,4,0,0,0,0,0,0,1,0,0,5
2022-10-20 12:00:00,thu,7,1,0,0,0,0,2,1,0,0,11
2022-10-20 13:00:00,thu,1,1,0,0,0,0,0,0,0,0,2
2022-10-20 14:00:00,thu,6,3,1,0,0,0,2,3,0,0,15
2022-10-20 15:00:00,thu,7,0,0,2,0,0,1,1,0,0,11
2022-10-20 16:00:00,thu,4,1,0,0,0,1,1,0,1,0,8
2022-10-20 17:00:00,thu,2,1,0,0,0,0,0,2,0,0,5
2022-10-20 18:00:00,thu,4,1,0,0,0,1,1,1,1,0,9
2022-10-20 19:00:00,thu,4,7,0,1,0,1,1,1,1,1,17
2022-10-20 20:00:00,thu,10,5,1,1,1,0,1,2,2,0,23
2022-10-20 21:00:00,thu,11,3,0,1,1,0,0,2,0,0,18
2022-10-20 22:00:00,thu,23,3,0,2,1,0,1,3,0,1,34
2022-10-20 23:00:00,thu,6,1,0,0,0,0,0,1,1,0,9
2022-10-21 0:00:00,fri,8,1,0,0,0,0,1,0,0,0,10
2022-10-21 1:00:00,fri,5,1,1,0,0,0,0,0,0,0,7
2022-10-21 2:00:00,fri,0,1,1,0,0,0,0,0,0,0,2
2022-10-21 3:00:00,fri,1,1,0,0,0,0,0,0,0,0,2
2022-10-21 4:00:00,fri,0,3,0,0,0,0,0,0,0,0,3
2022-10-21 5:00:00,fri,0,1,0,0,0,0,0,0,0,0,1
2022-10-21 6:00:00,fri,0,0,0,0,0,0,1,0,0,0,1
2022-10-21 7:00:00,fri,1,1,0,0,0,1,0,0,0,0,3
2022-10-21 8:00:00,fri,0,0,0,0,0,2,0,1,0,0,3
2022-10-21 9:00:00,fri,2,0,0,0,0,0,0,0,1,0,3
2022-10-21 10:00:00,fri,2,1,0,0,0,1,0,0,0,0,4
2022-10-21 11:00:00,fri,3,1,0,0,0,0,0,1,0,0,5
2022-10-21 12:00:00,fri,8,4,0,2,1,1,2,0,0,0,18
2022-10-21 13:00:00,fri,7,2,0,0,0,0,0,0,2,0,11
2022-10-21 14:00:00,fri,16,4,0,1,0,1,1,0,0,0,23
2022-10-21 15:00:00,fri,4,4,1,2,0,0,0,3,0,0,14
2022-10-21 16:00:00,fri,4,1,0,0,0,0,0,1,0,0,6
2022-10-21 17:00:00,fri,5,0,0,1,0,0,0,2,0,0,8
2022-10-21 18:00:00,fri,4,2,1,0,0,1,1,1,0,0,10
2022-10-21 19:00:00,fri,7,1,0,0,0,1,2,0,0,0,11
2022-10-21 20:00:00,fri,17,6,0,1,0,0,2,0,2,0,28
2022-10-21 21:00:00,fri,18,4,2,1,0,0,1,1,0,0,27
2022-10-21 22:00:00,fri,10,3,0,2,0,0,1,1,0,0,17
2022-10-21 23:00:00,fri,7,3,0,0,0,0,1,3,1,0,15
2022-10-22 0:00:00,sat,9,1,0,1,0,0,0,2,0,0,13
2022-10-22 1:00:00,sat,0,0,0,0,0,0,0,1,0,0,1
2022-10-22 2:00:00,sat,7,2,0,0,0,0,0,0,0,0,9
2022-10-22 3:00:00,sat,1,2,0,0,0,0,0,0,0,0,3
2022-10-22 4:00:00,sat,0,2,0,0,0,0,0,0,0,0,2
2022-10-22 5:00:00,sat,2,0,0,0,0,0,0,0,0,0,2
2022-10-22 6:00:00,sat,0,0,0,0,0,0,0,0,0,0,0
2022-10-22 7:00:00,sat,0,0,0,0,0,1,1,0,1,0,3
2022-10-22 8:00:00,sat,1,0,0,0,0,1,0,1,0,0,3
2022-10-22 9:00:00,sat,1,0,0,0,0,1,1,1,1,0,5
2022-10-22 10:00:00,sat,2,3,0,0,0,0,0,2,0,1,8
2022-10-22 11:00:00,sat,5,5,0,0,0,0,0,0,0,0,10
2022-10-22 12:00:00,sat,8,4,0,0,0,1,0,0,0,0,13
2022-10-22 13:00:00,sat,13,2,1,0,0,0,1,3,0,0,20
2022-10-22 14:00:00,sat,13,1,0,1,0,1,0,4,1,0,21
2022-10-22 15:00:00,sat,14,2,1,2,0,0,2,0,1,0,22
2022-10-22 16:00:00,sat,10,3,1,1,0,0,1,1,2,0,19
2022-10-22 17:00:00,sat,3,3,0,0,0,0,0,1,0,0,7
2022-10-22 18:00:00,sat,2,4,0,0,0,2,2,1,0,0,11
2022-10-22 19:00:00,sat,9,5,0,2,1,2,2,1,1,1,24
2022-10-22 20:00:00,sat,13,3,0,0,0,0,0,3,1,0,20
2022-10-22 21:00:00,sat,8,1,1,2,1,0,0,1,0,0,14
2022-10-22 22:00:00,sat,14,6,0,1,0,0,1,3,2,0,27
2022-10-22 23:00:00,sat,5,1,0,0,0,0,1,0,0,0,7
2022-10-23 0:00:00,sun,4,0,1,0,0,0,0,0,0,0,5
2022-10-23 1:00:00,sun,1,0,0,0,0,0,0,0,0,0,1
2022-10-23 2:00:00,sun,1,1,0,0,0,0,0,0,0,0,2
2022-10-23 3:00:00,sun,2,2,0,0,0,0,0,0,0,0,4
2022-10-23 4:00:00,sun,1,0,0,0,0,0,0,0,0,0,1
2022-10-23 5:00:00,sun,0,0,0,0,0,0,0,0,0,0,0
2022-10-23 6:00:00,sun,0,0,0,0,0,0,0,0,0,0,0
2022-10-23 7:00:00,sun,0,0,0,0,0,2,0,1,0,1,4
2022-10-23 8:00:00,sun,1,1,0,0,0,1,0,1,0,0,4
2022-10-23 9:00:00,sun,2,0,0,0,0,0,1,1,1,0,5
2022-10-23 10:00:00,sun,4,2,0,0,0,0,0,5,1,0,12
2022-10-23 11:00:00,sun,3,3,0,0,1,0,3,2,1,0,13
2022-10-23 12:00:00,sun,7,2,0,0,0,0,0,1,1,2,13
2022-10-23 13:00:00,sun,12,1,0,0,0,0,1,1,1,0,16
2022-10-23 14:00:00,sun,8,4,0,0,0,0,0,0,0,0,12
2022-10-23 15:00:00,sun,15,2,0,1,1,1,0,1,1,1,23
2022-10-23 16:00:00,sun,6,3,0,1,0,0,0,4,0,0,14
2022-10-23 17:00:00,sun,10,2,0,0,0,2,1,1,0,0,16
2022-10-23 18:00:00,sun,5,1,0,1,0,1,0,1,2,1,12
2022-10-23 19:00:00,sun,6,3,0,0,0,1,0,2,1,0,13
2022-10-23 20:00:00,sun,22,9,0,1,0,0,1,4,0,0,37
2022-10-23 21:00:00,sun,26,8,0,0,1,2,0,2,0,0,39
2022-10-23 22:00:00,sun,19,0,0,3,0,0,2,6,1,0,31
2022-10-23 23:00:00,sun,6,1,0,1,0,0,1,2,1,1,13
2022-10-24 0:00:00,mon,6,1,1,0,0,0,0,2,0,0,10
2022-10-24 1:00:00,mon,5,0,1,0,0,0,0,2,0,0,8
2022-10-24 2:00:00,mon,6,0,0,0,0,0,0,0,0,0,6
2022-10-24 3:00:00,mon,2,0,0,0,0,0,0,0,0,0,2
2022-10-24 4:00:00,mon,3,2,0,0,0,0,0,0,0,0,5
2022-10-24 5:00:00,mon,1,0,0,0,0,0,0,0,0,0,1
2022-10-24 6:00:00,mon,0,1,0,0,0,0,0,0,0,0,1
2022-10-24 7:00:00,mon,0,1,0,0,0,1,0,1,0,0,3
2022-10-24 8:00:00,mon,1,0,0,0,0,3,1,1,0,0,6
2022-10-24 9:00:00,mon,2,0,0,0,0,0,1,1,0,0,4
2022-10-24 10:00:00,mon,6,4,0,0,0,1,1,3,1,0,16
2022-10-24 11:00:00,mon,5,2,0,0,0,1,1,1,1,0,11
2022-10-24 12:00:00,mon,6,2,0,0,0,0,0,1,1,0,10
2022-10-24 13:00:00,mon,14,6,0,3,0,0,0,3,0,0,26
2022-10-24 14:00:00,mon,7,0,1,1,0,0,0,0,1,0,10
2022-10-24 15:00:00,mon,10,5,1,3,1,0,0,4,2,0,26
2022-10-24 16:00:00,mon,9,1,0,1,0,0,1,3,0,0,15
2022-10-24 17:00:00,mon,2,1,1,0,0,0,0,3,3,0,10
2022-10-24 18:00:00,mon,6,1,0,0,1,0,2,0,2,0,12
2022-10-24 19:00:00,mon,7,3,1,1,1,0,0,3,0,0,16
2022-10-24 20:00:00,mon,12,3,2,3,2,0,0,0,0,0,22
2022-10-24 21:00:00,mon,14,1,0,4,1,0,0,0,0,0,20
2022-10-24 22:00:00,mon,18,2,2,3,1,0,0,0,0,0,26
2022-10-24 23:00:00,mon,8,3,1,3,1,0,1,2,0,0,19
2022-10-25 0:00:00,tue,4,1,1,2,0,0,0,3,0,0,11
2022-10-25 1:00:00,tue,2,0,0,0,0,0,0,1,0,0,3
2022-10-25 2:00:00,tue,3,1,0,0,0,0,0,0,0,0,4
2022-10-25 3:00:00,tue,1,0,0,0,0,0,0,0,0,0,1
2022-10-25 4:00:00,tue,0,0,0,0,0,0,0,0,0,0,0
2022-10-25 5:00:00,tue,0,0,0,0,0,0,0,0,0,0,0
2022-10-25 6:00:00,tue,1,0,0,0,0,0,0,0,0,0,1
2022-10-25 7:00:00,tue,0,0,0,0,0,2,1,0,0,0,3
2022-10-25 8:00:00,tue,1,0,0,0,0,2,0,0,1,0,4
2022-10-25 9:00:00,tue,1,0,0,0,0,0,1,1,1,0,4
2022-10-25 10:00:00,tue,0,1,0,0,0,0,1,2,0,0,4
2022-10-25 11:00:00,tue,3,0,0,0,0,0,1,0,1,1,6
2022-10-25 12:00:00,tue,8,3,0,2,0,0,0,0,0,0,13
2022-10-25 13:00:00,tue,9,3,0,0,0,0,0,0,0,0,12
2022-10-25 14:00:00,tue,5,2,1,1,0,0,0,0,1,0,10
2022-10-25 15:00:00,tue,7,0,0,0,0,0,2,3,0,0,12
2022-10-25 16:00:00,tue,3,1,0,1,0,1,3,2,1,0,12
2022-10-25 17:00:00,tue,1,1,0,0,0,1,0,1,0,1,5
2022-10-25 18:00:00,tue,4,2,0,0,0,1,2,0,0,0,9
2022-10-25 19:00:00,tue,9,3,0,0,0,0,3,0,0,1,16
2022-10-25 20:00:00,tue,17,8,0,0,0,1,0,3,2,0,31
2022-10-25 21:00:00,tue,11,1,0,0,0,0,0,0,1,0,13
